simplify_gui;0;Simplify Your System;;;Simplify your system and eliminate all the functionality that you don't need.
guide_help;1;About this Administration Guide;;;"Every entry in this administration guide consists of four section: 1) a checkbox for marking an item as done, 2) a help (?) icon that links to a help page, 3) a title that links to the configuration page and 4) a short description. In order to remove this line please click on the checkbox at the left and click on 'Action' besie the 'Mark as done' select."
main_menu;1;Simplify Main Menu;/intranet/admin/menus/index?top_menu_depth=1&top_menu_id=$main_menu_id;menu_configuration;You can simplify the main menu bar by setting permissions for specific user groups or completely disabling tabs.
home_page_portlets;1;Simplify Home Page;/intranet/admin/components/index?component_page=/intranet/index;configuration_portlets;"You can simplify the 'Home' page by disabling portlets that you don't need. Keep the Home page in one browser windows, while enabling/disabling portlets in a second browser page. Press the browser 'Reload' button or F5 in order"
project_page_portlets;1;Simplify Project Page;/intranet/admin/components/index?component_page=/intranet/projects/view;configuration_portlets;"You can simplify the 'Project' page by disabling portlets that you don't need."
company_page_portlets;1;Simplify Company Page;/intranet/admin/components/index?component_page=/intranet/companies/view;configuration_portlets;"You can simplify the 'Company' page by disabling portlets that you don't need."
user_page_portlets;1;Simplify User Page;/intranet/admin/components/index?component_page=/intranet/users/view;configuration_portlets;"You can simplify the 'User' page by disabling portlets that you don't need."
simplify_gui_backup;1;Perform a Backup;/intranet/admin/backup/index;;Please perform a backup after going through the simplification setps.


basic_configuration;0;Basic Configuration;;;The following basic steps are required on nearly all systems.
system_logo_url;1;Logo & System Name;/shared/parameters?package_id=$package_intranet_core;configuration_logo_url;"Please modify the SystemLogo and SystemLogoLink parameters in order to adap the system to your company. The default is SystemLogo=/logo.gif, which will show the 'logo.gif' file located in /web/projop/www/ (Linux) or C:\project-open\servers\projop\www\ (Windows)."
system_emails;1;System Emails;/intranet/admin/parameters/index;;The default system comes with a number of emails set to a xxx@tigerpond.com default. Please replace these values with your correct emails.
exchange_rates;1;Update Exchange Rates;/intranet-exchange-rate/index;configuration_exchange_rates;$po needs exchange rates in order to calculate consolidated profit & loss figures per project and in financial reports. You can load exchange rates from a $po server or define rates yourself.
